episode,vanilla,mean_baseline,critic,rloo
655,306.0,465.0,500.0,410.0
656,248.0,294.0,500.0,488.0
657,263.0,157.0,500.0,500.0
658,260.0,268.0,500.0,430.0
659,243.0,152.0,500.0,500.0
660,235.0,133.0,500.0,500.0
661,262.0,294.0,500.0,482.0
662,214.0,192.0,500.0,500.0
663,222.0,153.0,500.0,500.0
664,231.0,108.0,500.0,500.0
665,211.0,105.0,500.0,500.0
666,266.0,55.0,500.0,500.0
667,260.0,117.0,500.0,500.0
668,268.0,148.0,500.0,500.0
669,254.0,107.0,500.0,500.0
670,301.0,135.0,500.0,500.0
671,391.0,147.0,500.0,500.0
672,426.0,123.0,500.0,500.0
673,465.0,139.0,500.0,500.0
674,347.0,187.0,500.0,500.0
675,500.0,104.0,500.0,500.0
676,500.0,137.0,500.0,500.0
677,469.0,124.0,500.0,500.0
678,478.0,61.0,500.0,470.0
679,500.0,135.0,500.0,500.0
680,500.0,147.0,500.0,500.0
681,400.0,153.0,500.0,500.0
682,394.0,133.0,500.0,500.0
683,500.0,132.0,500.0,500.0
684,500.0,123.0,500.0,500.0
685,500.0,122.0,500.0,500.0
686,500.0,132.0,500.0,500.0
687,500.0,106.0,500.0,500.0
688,500.0,146.0,500.0,500.0
689,500.0,121.0,500.0,500.0
690,500.0,131.0,500.0,500.0
691,500.0,145.0,332.0,500.0
692,480.0,151.0,500.0,500.0
693,500.0,131.0,500.0,500.0
694,500.0,154.0,500.0,500.0
695,500.0,160.0,500.0,394.0
696,500.0,217.0,500.0,500.0
697,500.0,131.0,500.0,500.0
698,471.0,170.0,210.0,170.0
699,500.0,293.0,500.0,500.0
700,500.0,340.0,500.0,500.0
701,500.0,500.0,500.0,500.0
702,362.0,500.0,500.0,500.0
703,307.0,500.0,500.0,500.0
704,500.0,500.0,500.0,500.0
705,500.0,500.0,500.0,500.0
706,500.0,500.0,500.0,500.0
707,500.0,500.0,500.0,500.0
708,377.0,500.0,500.0,500.0
709,500.0,500.0,500.0,265.0
710,304.0,500.0,500.0,500.0
